3	1	1	1	3	1	7
276	1	2	2	4	1	7
292	1	2	3	4	1	7
293	1	2	3	5	1	7
565	1	3	4	5	1	7
566	1	3	4	6	1	6
582	1	3	5	6	1	6
855	1	4	6	7	1	6
4099	2	1	1	3	1	7
4371	2	2	2	3	1	7
4372	2	2	2	4	1	7
4388	2	2	3	4	1	7
4389	2	2	3	5	1	7
4645	2	3	3	5	1	6
4661	2	3	4	5	1	6
4662	2	3	4	6	1	6
4678	2	3	5	6	1	6
4934	2	4	5	6	1	6
4935	2	4	5	7	1	6
4951	2	4	6	7	1	6
5224	2	5	7	8	1	6
5241	2	5	8	9	1	6
5497	2	6	8	9	1	6
5514	2	6	9	10	1	6
5787	2	7	10	11	1	6
8195	3	1	1	3	1	6
8451	3	2	1	3	1	8
8467	3	2	2	3	1	7
8468	3	2	2	4	1	7
8484	3	2	3	4	1	6
8740	3	3	3	4	1	7
8741	3	3	3	5	1	7
8757	3	3	4	5	1	6
8758	3	3	4	6	1	6
9013	3	4	4	5	1	7
9014	3	4	4	6	1	6
9030	3	4	5	6	1	6
9031	3	4	5	7	1	6
9047	3	4	6	7	1	6
9303	3	5	6	7	1	6
9320	3	5	7	8	1	6
9593	3	6	8	9	1	6
9610	3	6	9	10	1	5
9866	3	7	9	10	1	6
9883	3	7	10	11	1	5
10156	3	8	11	12	1	5
10172	3	8	12	12	1	5
12547	4	2	1	3	1	7
12563	4	2	2	3	1	6
12564	4	2	2	4	1	7
12820	4	3	2	4	1	7
12836	4	3	3	4	1	6
12837	4	3	3	5	1	6
12853	4	3	4	5	1	6
13109	4	4	4	5	1	6
13110	4	4	4	6	1	6
13126	4	4	5	6	1	6
13382	4	5	5	6	1	6
13399	4	5	6	7	1	6
13415	4	5	7	7	1	6
13416	4	5	7	8	1	6
13672	4	6	7	8	1	5
13688	4	6	8	8	1	5
13689	4	6	8	9	1	5
13961	4	7	9	9	1	5
13962	4	7	9	10	1	5
13978	4	7	10	10	1	5
13979	4	7	10	11	1	5
14235	4	8	10	11	1	5
14251	4	8	11	11	1	5
14252	4	8	11	12	1	5
14268	4	8	12	12	1	5
14525	4	9	12	13	1	5
14541	4	9	13	13	1	5
14814	4	10	14	14	1	5
16659	5	2	2	3	1	6
16915	5	3	2	3	1	7
16916	5	3	2	4	1	7
16932	5	3	3	4	1	6
16933	5	3	3	5	1	6
17188	5	4	3	4	1	8
17189	5	4	3	5	1	7
17205	5	4	4	5	1	6
17206	5	4	4	6	1	6
17222	5	4	5	6	1	6
17478	5	5	5	6	1	6
17494	5	5	6	6	1	6
17495	5	5	6	7	1	5
17511	5	5	7	7	1	6
17751	5	6	6	7	1	6
17767	5	6	7	7	1	6
17768	5	6	7	8	1	5
17784	5	6	8	8	1	5
17785	5	6	8	9	1	5
18041	5	7	8	9	1	5
18057	5	7	9	9	1	5
18058	5	7	9	10	1	5
